,,,,,,,
Código,Classificação,Grupo,Valor,% Partic,% Lucro,%% Vendas,Núm. Clientes
,,,,,,,Atendidos
10852,1.13.126.006.013,                      Guarana Pet Diet Zero Ate 330ml,"0,00","0,00","0,00","0,00",0
10853,1.13.126.006.014,                      Guarana Pet Diet Zero Ate 600ml,"3.903,61","2,17","17,22","0,01",622
10854,1.13.126.006.015,                      Laranja Lata Diet Zero Ate 220ml,"0,00","0,00","0,00","0,00",0
10855,1.13.126.006.016,                      Laranja Lata Diet Zero Ate 350ml,"0,00","0,00","0,00","0,00",0
10856,1.13.126.006.017,                      Laranja Pet Diet Zero 2l,"2.599,74","1,44","22,42","0,01",283
10857,1.13.126.006.018,                      Laranja Pet Diet Zero Acima De 2l,"0,00","0,00","0,00","0,00",0
10858,1.13.126.006.019,"                      Laranja Pet Diet Zero Ate 1,5l","0,00","0,00","0,00","0,00",0
10859,1.13.126.006.020,                      Laranja Pet Diet Zero Ate 330ml,"0,00","0,00","0,00","0,00",0
10860,1.13.126.006.021,                      Laranja Pet Diet Zero Ate 600ml,"0,00","0,00","0,00","0,00",0
10861,1.13.126.006.022,                      Limao Lata Diet Zero Ate 220ml,"0,00","0,00","0,00","0,00",0
10862,1.13.126.006.023,                      Limao Lata Diet Zero Ate 350ml,"185,98","0,10","16,09","0,00",28
10863,1.13.126.006.024,                      Limao Pet Diet Zero 2l,"0,00","0,00","0,00","0,00",0
10864,1.13.126.006.025,                      Limao Pet Diet Zero Acima De 2l,"0,00","0,00","0,00","0,00",0
10865,1.13.126.006.026,"                      Limao Pet Diet Zero Ate 1,5l","0,00","0,00","0,00","0,00",0
10866,1.13.126.006.027,                      Limao Pet Diet Zero Ate 330ml,"0,00","0,00","0,00","0,00",0
10867,1.13.126.006.028,                      Limao Pet Diet Zero Ate 600ml,"0,00","0,00","0,00","0,00",0
10868,1.13.126.006.029,                      Sabores Lata Diet Zero Ate 220ml,"0,00","0,00","0,00","0,00",0
10869,1.13.126.006.030,                      Sabores Lata Diet Zero Ate 350ml,"0,00","0,00","0,00","0,00",0
10870,1.13.126.006.031,                      Sabores Pet Diet Zero 2l,"6.546,64","3,63","19,29","0,02",900
10871,1.13.126.006.032,                      Sabores Pet Diet Zero Acima De 2l,"0,00","0,00","0,00","0,00",0
10872,1.13.126.006.033,"                      Sabores Pet Diet Zero Ate 1,5l","0,00","0,00","0,00","0,00",0
10873,1.13.126.006.034,                      Sabores Pet Diet Zero Ate 330ml,"0,00","0,00","0,00","0,00",0
10874,1.13.126.006.035,                      Sabores Pet Diet Zero Ate 600ml,"0,00","0,00","0,00","0,00",0
10875,1.13.126.006.036,                      Uva Lata Diet Zero Ate 220ml,"0,00","0,00","0,00","0,00",0
10876,1.13.126.006.037,                      Uva Lata Diet Zero Ate 350ml,"0,00","0,00","0,00","0,00",0
10877,1.13.126.006.038,                      Uva Pet Diet Zero 2l,"0,00","0,00","0,00","0,00",0
10878,1.13.126.006.039,                      Uva Pet Diet Zero Acima De 2l,"0,00","0,00","0,00","0,00",0
10879,1.13.126.006.040,"                      Uva Pet Diet Zero Ate 1,5l","0,00","0,00","0,00","0,00",0
10880,1.13.126.006.041,                      Uva Pet Diet Zero Ate 330ml,"0,00","0,00","0,00","0,00",0
10881,1.13.126.006.042,                      Uva Pet Diet Zero Ate 600ml,"0,00","0,00","0,00","0,00",0
10882,1.13.127,          Vinhos,"100.229,27","2,35","22,57","0,26",0
10883,1.13.127.001,                Brancos E Roses,"18.796,72","18,75","25,09","0,05",0
10884,1.13.127.001.001,                      Brancos Argentinos,"2.187,10","11,64","28,41","0,01",29
10885,1.13.127.001.002,                      Brancos Chilenos,"1.293,90","6,88","26,48","0,00",37
10886,1.13.127.001.003,                      Brancos Espanhois,"0,00","0,00","0,00","0,00",0
10887,1.13.127.001.004,                      Brancos Franceses,"0,00","0,00","0,00","0,00",0
10888,1.13.127.001.005,                      Brancos Italianos,"354,90","1,89","24,01","0,00",2
10889,1.13.127.001.006,                      Brancos Nacionais,"8.712,21","46,35","23,05","0,02",516
10890,1.13.127.001.007,                      Brancos Outros Paises,"0,00","0,00","0,00","0,00",0
10891,1.13.127.001.008,                      Brancos Portugueses,"4.691,59","24,96","25,81","0,01",137
10892,1.13.127.001.009,                      Roses Argentinos,"551,60","2,94","33,62","0,00",13
10893,1.13.127.001.010,                      Roses Chilenos,"492,51","2,62","27,24","0,00",13
10894,1.13.127.001.011,                      Roses Espanhois,"0,00","0,00","0,00","0,00",0
10895,1.13.127.001.012,                      Roses Franceses,"0,00","0,00","0,00","0,00",0
10896,1.13.127.001.013,                      Roses Italianos,"143,61","0,76","29,98","0,00",2
10897,1.13.127.001.014,                      Roses Nacionais,"0,00","0,00","0,00","0,00",0
10898,1.13.127.001.015,                      Roses Outros Paises,"0,00","0,00","0,00","0,00",0
10899,1.13.127.001.016,                      Roses Portugueses,"369,30","1,96","23,03","0,00",7
10900,1.13.127.002,                Champagne E Espumantes,"4.225,22","4,22","21,63","0,01",0
10901,1.13.127.002.001,                      Champagne E Espumantes Importados,"385,79","9,13","12,63","0,00",4
10902,1.13.127.002.002,                      Champagne E Espumantes Nacionais,"3.839,43","90,87","22,54","0,01",134
10903,1.13.127.003,                Outros Vinhos,"9.714,70","9,69","22,93","0,03",0
10904,1.13.127.003.001,                      Vinhos Chopp,"9.402,65","96,79","22,81","0,02",734
10905,1.13.127.003.002,                      Vinhos Garrafao,"0,00","0,00","0,00","0,00",0
10906,1.13.127.003.003,                      Vinhos Gaseificados,"312,05","3,21","26,38","0,00",28
10907,1.13.127.004,                Sidras E Filtrados,"0,00","0,00","0,00","0,00",0
10908,1.13.127.004.001,                      Com Alcool,"0,00","0,00","0,00","0,00",0
10909,1.13.127.004.002,                      Sem Alcool,"0,00","0,00","0,00","0,00",0
10910,1.13.127.005,                Tintos,"67.492,63","67,34","21,88","0,18",0
10911,1.13.127.005.001,                      Tintos Argentinos,"8.164,31","12,10","23,48","0,02",84
10912,1.13.127.005.002,                      Tintos Chilenos,"5.751,05","8,52","26,65","0,02",139
10913,1.13.127.005.003,                      Tintos Espanhois,"312,60","0,46","27,22","0,00",4
10914,1.13.127.005.004,                      Tintos Franceses,"0,00","0,00","0,00","0,00",0
10915,1.13.127.005.005,                      Tintos Italianos,"608,87","0,90","23,21","0,00",4
10916,1.13.127.005.006,                      Tintos Nacionais,"50.488,80","74,81","20,88","0,13",3012
10917,1.13.127.005.007,                      Tintos Outros Paises,"586,40","0,87","37,85","0,00",6
10918,1.13.127.005.008,                      Tintos Portugueses,"1.580,60","2,34","20,90","0,00",24
10919,1.14,    Limpeza E Descartaveis,"1.791.354,48","9,13","21,58","4,64",0
10920,1.14.128,          Limpeza Casa,"757.478,39","42,28","24,10","1,96",0
10921,1.14.128.001,                Alcool,"45.936,83","6,06","26,72","0,12",0
10922,1.14.128.001.001,                      Alcool Gel,"1.857,01","4,04","-30,55","0,01",137
10923,1.14.128.001.002,                      Alcool Liquido,"44.079,82","95,96","29,13","0,11",3833
10924,1.14.128.001.003,                      Alcool Perfumado,"0,00","0,00","0,00","0,00",0
10925,1.14.128.001.004,                      Alcool Spray,"0,00","0,00","0,00","0,00",0
10926,1.14.128.002,                Ceras Polidores E Removedores,"41.491,24","5,48","25,52","0,11",0
10927,1.14.128.002.001,                      Cera Liquida,"12.489,98","30,10","24,23","0,03",910
10928,1.14.128.002.002,                      Cera Pasta,"4.667,37","11,25","22,01","0,01",223
10929,1.14.128.002.003,                      Cera Plastica,"0,00","0,00","0,00","0,00",0
10930,1.14.128.002.004,                      Limpador Com Brilho,"0,00","0,00","0,00","0,00",0
10931,1.14.128.002.005,                      Lustra Moveis E Oleo,"5.297,99","12,77","27,29","0,01",448
10932,1.14.128.002.006,                      Querosene E Removedor,"18.784,38","45,27","26,85","0,05",918
10933,1.14.128.002.007,                      Removedor Cera,"251,52","0,61","17,67","0,00",14
10934,1.14.128.002.008,                      Tira Ferrugem,"0,00","0,00","0,00","0,00",0
10935,1.14.128.003,                Desentupidores,"12.890,54","1,70","26,29","0,03",0
10936,1.14.128.003.001,                      Desentupidor Liquido,"1.102,99","8,56","27,17","0,00",20
10937,1.14.128.003.002,                      Desentupidor Solido,"1.660,97","12,88","27,35","0,00",63
10938,1.14.128.003.003,                      Soda Caustica,"10.126,58","78,56","26,02","0,03",345
10939,1.14.128.004,                Desinfetante,"142.325,86","18,79","23,26","0,37",0
10940,1.14.128.004.001,                      Desinfetante Acima De 1l,"58.945,39","41,42","21,10","0,15",5757
10941,1.14.128.004.002,                      Desinfetante Ate 500ml,"18.261,11","12,83","24,05","0,05",2443
10942,1.14.128.004.003,                      Desinfetante De 501ml A 1l,"2.337,07","1,64","22,96","0,01",177
10943,1.14.128.004.004,                      Lenco Desinfetante,"0,00","0,00","0,00","0,00",0
10944,1.14.128.004.005,                      Oleo Aromatizado,"62.782,29","44,11","25,07","0,16",3438
10945,1.14.128.005,                Desodorizador Sanitario,"60.550,42","7,99","26,83","0,16",0
10946,1.14.128.005.001,                      Desodorizador Aparelho,"1.894,79","3,13","27,35","0,01",366
10947,1.14.128.005.002,                      Desodorizador Refil,"21.624,97","35,71","25,86","0,06",1650
10948,1.14.128.005.003,                      Gel Adesivo,"6.266,23","10,35","27,27","0,02",428
10949,1.14.128.005.004,                      Pastilha Adesiva,"12.085,41","19,96","27,09","0,03",1197
10950,1.14.128.005.005,                      Pedra Sanitaria,"18.679,02","30,85","27,58","0,05",2969
10951,1.14.128.006,                Inseticida,"36.448,65","4,81","25,35","0,10",0
10952,1.14.128.006.001,                      Inseticida Aerossol,"26.675,64","73,19","25,29","0,07",1160
10953,1.14.128.006.002,                      Inseticida Armadilhas E Iscas,"1.238,94","3,40","28,01","0,00",157
10954,1.14.128.006.003,                      Inseticida Automatico,"0,00","0,00","0,00","0,00",0
10955,1.14.128.006.004,                      Inseticida Eletrico Liquido,"2.509,68","6,89","23,79","0,01",77
10956,1.14.128.006.005,                      Inseticida Eletrico Pastilha,"4.373,05","12,00","26,11","0,01",192
10957,1.14.128.006.006,                      Inseticida Espiral,"143,67","0,39","26,25","0,00",18
10958,1.14.128.006.007,                      Inseticida Po E Liquido,"1.507,67","4,14","24,48","0,00",50
10959,1.14.128.007,                La Palha E Esponja,"87.175,04","11,51","27,98","0,23",0
10960,1.14.128.007.001,                      Esponja Comum,"55.164,00","63,28","28,25","0,14",9135
10961,1.14.128.007.002,                      Esponjas Especiais,"5.650,85","6,48","27,35","0,02",820
10962,1.14.128.007.003,                      Palha De Aco,"26.360,19","30,24","27,54","0,07",7071
10963,1.14.128.008,                Limpa Vidros,"5.556,99","0,73","26,45","0,01",0
10964,1.14.128.008.001,                      Limpa Vidro Borrifador,"2.339,13","42,09","25,79","0,01",111
10965,1.14.128.008.002,                      Limpa Vidro Refil,"3.217,86","57,91","26,92","0,01",311
10966,1.14.128.009,                Limpadores,"94.936,82","12,53","26,20","0,25",0
10967,1.14.128.009.001,                      Limpadores Concentrado Acima De 1l,"0,00","0,00","0,00","0,00",0
10968,1.14.128.009.002,                      Limpadores Concentrado Ate 500ml,"0,00","0,00","0,00","0,00",0
10969,1.14.128.009.003,                      Limpadores Concentrado De 501ml a 1l,"0,00","0,00","0,00","0,00",0
10970,1.14.128.009.004,                      Limpadores Limpa Carpete,"358,80","0,38","16,05","0,00",12
10971,1.14.128.009.005,                      Limpadores Limpeza Pesada Acima De 1l,"0,00","0,00","0,00","0,00",0
10972,1.14.128.009.006,                      Limpadores Limpeza Pesada Ate 500ml,"3.032,70","3,19","25,51","0,01",220
10973,1.14.128.009.007,                      Limpadores Limpeza Pesada De 501ml a 1l,"3.055,05","3,22","25,81","0,01",115
10974,1.14.128.009.008,                      Limpadores Multiuso Acima De 1l,"0,00","0,00","0,00","0,00",0
10975,1.14.128.009.009,                      Limpadores Multiuso Ate 500ml,"26.644,25","28,06","26,55","0,07",3300
10976,1.14.128.009.010,                      Limpadores Multiuso De 501ml a 1l,"18.212,57","19,18","25,21","0,05",2258
10977,1.14.128.009.011,                      Limpadores Perfumado Acima De 1l,"10.219,71","10,76","26,78","0,03",437
10978,1.14.128.009.012,                      Limpadores Perfumado Ate 500ml,"20.665,92","21,77","26,32","0,05",3038
10979,1.14.128.009.013,                      Limpadores Perfumado De 501ml a 1l,"12.747,82","13,43","26,75","0,03",1210
10980,1.14.128.010,                Limpeza Banheiro,"5.059,99","0,67","27,41","0,01",0
10981,1.14.128.010.001,                      Kit Limpeza Banheiro,"610,06","12,06","27,12","0,00",42
10982,1.14.128.010.002,                      Tira Limo Pulverizador,"861,39","17,02","25,95","0,00",28
10983,1.14.128.010.003,                      Tira Limo Refil E Sachê,"550,46","10,88","26,88","0,00",29
10984,1.14.128.010.004,                      Tira Limo Squeeze,"3.038,08","60,04","27,97","0,01",178
10985,1.14.128.011,                Limpeza Cozinha,"221.394,78","29,23","20,17","0,57",0
10986,1.14.128.011.001,                      Desengordurante Pulverizador,"3.192,46","1,44","25,66","0,01",156
10987,1.14.128.011.002,                      Desengordurante Refil E Sachê,"2.281,80","1,03","28,75","0,01",137
10988,1.14.128.011.003,                      Desengordurante Squeeze,"7.761,63","3,51","25,29","0,02",679
10989,1.14.128.011.004,                      Detergente Gel,"13,98","0,01","19,31","3,62",2
10990,1.14.128.011.005,                      Detergente Liquido,"163.600,65","73,89","17,72","0,42",24743
10991,1.14.128.011.006,                      Detergente Maquina Lava Louca,"2.300,60","1,04","22,44","0,01",57
10992,1.14.128.011.007,                      Limpa Alum Inox Prata,"2.862,37","1,29","27,38","0,01",352
10993,1.14.128.011.008,                      Limpa Forno,"20.905,47","9,44","29,08","0,05",2792
10994,1.14.128.011.009,                      Sabao Em Pasta,"1.249,16","0,56","23,82","0,00",124
10995,1.14.128.011.010,                      Saponaceo Barra,"0,00","0,00","0,00","0,00",0
10996,1.14.128.011.011,                      Saponaceo Cremoso,"16.214,91","7,32","26,08","0,04",1379
10997,1.14.128.011.012,                      Saponaceo Po,"1.011,75","0,46","30,49","0,00",150
10998,1.14.128.012,                Purificador De Ar,"3.711,23","0,49","26,35","0,01",0
10999,1.14.128.012.001,                      Anti Mofo E Naftalina,"2.861,55","77,11","27,00","0,01",389
11000,1.14.128.012.002,                      Odorizador Gel,"310,48","8,37","18,27","0,00",22
11001,1.14.128.012.003,                      Purificador Aerossol,"0,00","0,00","0,00","0,00",0
11002,1.14.128.012.004,                      Purificador Aparelho,"0,00","0,00","0,00","0,00",0
11003,1.14.128.012.005,                      Purificador Eletrico,"0,00","0,00","0,00","0,00",0
11004,1.14.128.012.006,                      Purificador Refil,"539,20","14,53","27,59","0,00",5
11005,1.14.129,          Limpeza Roupa,"1.033.876,09","57,72","19,72","2,68",0
11006,1.14.129.001,                Agua Sanitaria,"69.974,20","6,77","23,46","0,18",0
11007,1.14.129.001.001,                      Agua Sanitaria 2l,"24.284,17","34,70","24,21","0,06",3084
11008,1.14.129.001.002,                      Agua Sanitaria Acima 2l,"17.485,97","24,99","21,65","0,05",985
11009,1.14.129.001.003,                      Agua Sanitaria Ate 1l,"28.204,06","40,31","23,92","0,07",6140
11010,1.14.129.002,                Alvejante E Tira Manchas,"36.648,57","3,54","27,50","0,10",0
11011,1.14.129.002.001,                      Alvejante Liquido Acima De 900ml,"23.948,89","65,35","27,64","0,06",1969
11012,1.14.129.002.002,                      Alvejante Liquido Ate 500ml,"1.567,55","4,28","30,79","0,00",91
11013,1.14.129.002.003,                      Alvejante Liquido De 501ml A 900ml,"0,00","0,00","0,00","0,00",0
11014,1.14.129.002.004,                      Alvejante Po Acima De 900g,"0,00","0,00","0,00","0,00",0
11015,1.14.129.002.005,                      Alvejante Po Ate 500g,"2.037,53","5,56","26,38","0,01",73
11016,1.14.129.002.006,                      Alvejante Po De 501g A 900g,"0,00","0,00","0,00","0,00",0
11017,1.14.129.002.007,                      Corantes De Roupa,"3.473,65","9,48","27,36","0,01",364
11018,1.14.129.002.008,                      Pre Lavagem,"0,00","0,00","0,00","0,00",0
11019,1.14.129.002.009,                      Tira Manchas Barra,"348,96","0,95","37,90","0,00",11
11020,1.14.129.002.010,                      Tira Manchas Liquido Acima De 900ml,"0,00","0,00","0,00","0,00",0
11021,1.14.129.002.011,                      Tira Manchas Liquido Ate 500ml,"698,65","1,91","30,29","0,00",71
11022,1.14.129.002.012,                      Tira Manchas Liquido De 501ml A 900ml,"0,00","0,00","0,00","0,00",0
11023,1.14.129.002.013,                      Tira Manchas Po Acima De 900g,"0,00","0,00","0,00","0,00",0
11024,1.14.129.002.014,                      Tira Manchas Po Ate 500g,"4.573,34","12,48","25,03","0,01",350
11025,1.14.129.002.015,                      Tira Manchas Po De 501g A 900g,"0,00","0,00","0,00","0,00",0
11026,1.14.129.003,                Amaciante De Roupa,"293.155,16","28,36","19,42","0,76",0
11027,1.14.129.003.001,"                      Amaciante Concentrado 1,5l","20.628,05","7,04","20,42","0,05",603
11028,1.14.129.003.002,                      Amaciante Concentrado 1l,"73.396,10","25,04","20,66","0,19",3221
11029,1.14.129.003.003,                      Amaciante Concentrado 500ml,"28.179,70","9,61","22,24","0,07",2107
11030,1.14.129.003.004,                      Amaciante Diluido 2l,"104.140,35","35,52","18,56","0,27",8326
11031,1.14.129.003.005,                      Amaciante Diluido 500ml,"2.598,49","0,89","25,67","0,01",452
11032,1.14.129.003.006,                      Amaciante Diluido Acima De 2l,"63.858,47","21,78","17,57","0,17",3044
11033,1.14.129.003.007,                      Amaciante Kit,"0,00","0,00","0,00","0,00",0
11034,1.14.129.003.008,                      Amaciante Roupas Delicadas/Infantil,"354,00","0,12","24,41","0,00",47
11035,1.14.129.004,                Elimina Odor Roupa,"0,00","0,00","0,00","0,00",0
11036,1.14.129.004.001,                      Elimina Odores Pulverizador,"0,00","0,00","0,00","0,00",0
11037,1.14.129.004.002,                      Elimina Odores Refil,"0,00","0,00","0,00","0,00",0
11038,1.14.129.005,                Facilitador De Passar E Goma,"709,68","0,07","24,54","0,00",0
11039,1.14.129.005.001,                      Facilitador De Passar Aparelho,"44,90","6,33","23,16","0,00",1
11040,1.14.129.005.002,                      Facilitador De Passar Refil,"664,78","93,67","24,63","0,00",40
11041,1.14.129.005.003,                      Goma,"0,00","0,00","0,00","0,00",0
11042,1.14.129.006,                Lava Roupas,"549.299,91","53,13","19,24","1,42",0
90050,1.14.129.006.001,                      Lava Roupas Liquido,"100.324,99","18,26","21,03","0,26",3919
90051,1.14.129.006.002,                      Lava Roupas Po,"448.974,92","81,74","18,84","1,16",21361
11054,1.14.129.007,                Limpeza Calcado,"5.491,69","0,53","24,56","0,01",0
11055,1.14.129.007.001,                      Acessorios Calcado,"0,00","0,00","0,00","0,00",0
11056,1.14.129.007.002,                      Cera Liquida Calcado,"4.735,55","86,23","24,43","0,01",239
11057,1.14.129.007.003,                      Mousse Calcado,"0,00","0,00","0,00","0,00",0
11058,1.14.129.007.004,                      Pasta/Graxa Calcado,"756,14","13,77","25,39","0,00",46
11059,1.14.129.008,                Sabao Para Roupa,"78.596,88","7,60","16,89","0,20",0
11060,1.14.129.008.001,                      Sabao Barra Coco Pacote,"5.223,88","6,65","18,42","0,01",787
11061,1.14.129.008.002,                      Sabao Barra Coco Unidade,"2.106,00","2,68","18,74","0,01",407
11062,1.14.129.008.003,                      Sabao Barra Glicerinado Pacote,"54.778,02","69,70","16,28","0,14",3370
11063,1.14.129.008.004,                      Sabao Barra Glicerinado Unidade,"9.247,01","11,76","19,09","0,02",1820
11064,1.14.129.008.005,                      Sabao Barra Perfumado Pacote,"5.268,43","6,70","16,97","0,01",331
11065,1.14.129.008.006,                      Sabao Barra Perfumado Unidade,"1.973,54","2,51","17,13","0,01",450
11066,1.15,    Perfumaria E Higiene,"2.207.369,30","11,26","29,41","5,72",0
11067,1.15.130,          Cuidado Com Cabelo,"462.664,41","20,96","32,73","1,20",0
11068,1.15.130.001,                Acessorios De Cabelo,"9.969,42","2,16","34,53","0,03",0
11069,1.15.130.001.001,                      Enfeites Prend Cabelo,"862,99","8,66","39,19","0,00",121
11070,1.15.130.001.002,                      Escova De Cabelo,"7.031,47","70,53","34,20","0,02",342
11071,1.15.130.001.003,                      Kit Pente Escova,"918,66","9,22","33,88","0,00",58
11072,1.15.130.001.004,                      Outros Acessorios Para Cabelo,"0,00","0,00","0,00","0,00",0
11073,1.15.130.001.005,                      Pente De Cabelo,"966,20","9,69","33,64","0,00",193
11074,1.15.130.001.006,                      Porta Escova,"190,10","1,91","33,20","0,00",18
11075,1.15.130.002,                Coloracao Cabelo,"30.837,22","6,66","34,78","0,08",0
11076,1.15.130.002.001,                      Agua Oxigenada,"2.285,92","7,41","33,30","0,01",352
11077,1.15.130.002.002,                      Coloracao Com Amonia,"17.954,78","58,22","35,38","0,05",840
11078,1.15.130.002.003,                      Coloracao Masculina,"1.363,46","4,42","30,47","0,00",39
11079,1.15.130.002.004,                      Coloracao Sem Amonia,"8.717,19","28,27","34,74","0,02",501
11080,1.15.130.002.005,                      Corretivo De Raiz,"0,00","0,00","0,00","0,00",0
11081,1.15.130.002.006,                      Descolorante Clareador,"495,17","1,61","32,92","0,00",32
11082,1.15.130.002.007,                      Kit Coloracao,"20,70","0,07","33,00","5,37",6
11083,1.15.130.003,                Condicionador,"88.446,52","19,12","34,33","0,23",0
11084,1.15.130.003.001,                      Condicionador Anticaspa,"0,00","0,00","0,00","0,00",0
11085,1.15.130.003.002,                      Condicionador Basico Acima 400ml,"0,00","0,00","0,00","0,00",0
11086,1.15.130.003.003,                      Condicionador Basico Ate 400ml,"88.446,52","100,00","34,33","0,23",4130
11087,1.15.130.004,                Finalizadores Cabelo,"29.723,63","6,42","33,02","0,08",0
11088,1.15.130.004.001,                      Creme Alisante,"0,00","0,00","0,00","0,00",0
11089,1.15.130.004.002,                      Creme Pentear,"16.276,03","54,76","32,77","0,04",1181
11090,1.15.130.004.003,                      Espuma Pentear,"0,00","0,00","0,00","0,00",0
11091,1.15.130.004.004,                      Gel E Pomada Capilar,"12.300,20","41,38","33,39","0,03",798
11092,1.15.130.004.005,                      Hair Spray,"1.147,40","3,86","32,58","0,00",26
11093,1.15.130.004.006,                      Leite Pentear,"0,00","0,00","0,00","0,00",0
11094,1.15.130.004.007,                      Reparador De Pontas,"0,00","0,00","0,00","0,00",0
11095,1.15.130.005,                Hidratacao Cabelo,"44.192,94","9,55","32,89","0,12",0
11096,1.15.130.005.001,                      Ampola Tratamento Capilar,"0,00","0,00","0,00","0,00",0
11097,1.15.130.005.002,                      Creme Tratamento Capilar Acima 500g,"27.488,03","62,20","31,81","0,07",2204
11098,1.15.130.005.003,                      Creme Tratamento Capilar Ate 500g,"14.256,31","32,26","34,73","0,04",412
11099,1.15.130.005.004,                      Mascara Hidratante,"713,59","1,62","35,16","0,00",20
11100,1.15.130.005.005,                      Oleo E Fluido Capilar,"1.735,01","3,93","34,02","0,01",111
11101,1.15.130.006,                Shampoo,"259.494,68","56,09","31,81","0,67",0
11102,1.15.130.006.001,                      Kit Shampoo,"0,00","0,00","0,00","0,00",0
11103,1.15.130.006.002,                      Kit Shampoo Condicionador,"73.174,50","28,20","30,10","0,19",2522
11104,1.15.130.006.003,                      Shampoo 2x1 Ou 3x1,"1.184,72","0,46","28,82","0,00",53
11105,1.15.130.006.004,                      Shampoo Anticaspa,"44.574,45","17,18","33,02","0,12",2001
11106,1.15.130.006.005,                      Shampoo Basico Acima 400ml,"3.532,72","1,36","33,94","0,01",93
11107,1.15.130.006.006,                      Shampoo Basico Ate 400ml,"137.028,29","52,81","32,31","0,36",7039
11108,1.15.131,          Cuidado Com Corpo,"601.282,41","27,24","32,33","1,56",0
11109,1.15.131.001,                Acessorios Banho,"10.569,37","1,76","29,80","0,03",0
11110,1.15.131.001.001,                      Bucha E Escova Banho,"2.723,14","25,76","29,46","0,01",242
11111,1.15.131.001.002,                      Esponja Banho,"7.434,39","70,34","29,94","0,02",821
11112,1.15.131.001.003,                      Toucas,"411,84","3,90","29,50","0,00",95
11113,1.15.131.002,                Acessorios De Cutelaria,"7.554,71","1,26","34,26","0,02",0
11114,1.15.131.002.001,                      Alicate E Cortador,"3.647,02","48,28","35,28","0,01",238
11115,1.15.131.002.002,                      Bacias Maos E Pes,"0,00","0,00","0,00","0,00",0
11116,1.15.131.002.003,                      Escova Unha,"906,72","12,00","28,20","0,00",132
11117,1.15.131.002.004,                      Kit Manicure E Unhas Posticas,"37,80","0,50","32,59","9,80",2
11118,1.15.131.002.005,                      Lixa Pedra Pome Palito Pinca,"2.963,17","39,22","34,89","0,01",462
11119,1.15.131.003,                Algodao Curativos Gel,"11.507,03","1,91","34,56","0,03",0
11120,1.15.131.003.001,                      Algodao Multiuso,"7.539,69","65,52","34,07","0,02",1142
11121,1.15.131.003.002,                      Curativos Multiuso,"3.759,94","32,68","35,53","0,01",423
11122,1.15.131.003.003,                      Gel Antisseptico,"0,00","0,00","0,00","0,00",0
11123,1.15.131.003.004,                      Gel Massageador,"207,40","1,80","34,98","0,00",11
11124,1.15.131.003.005,                      Termometro,"0,00","0,00","0,00","0,00",0
11125,1.15.131.004,                Depilacao,"27.323,71","4,54","29,42","0,07",0
11126,1.15.131.004.001,                      Aparelho Descartavel Feminino,"23.852,99","87,30","28,75","0,06",1459
11127,1.15.131.004.002,                      Aparelho Recarregavel Feminino,"0,00","0,00","0,00","0,00",0
11128,1.15.131.004.003,                      Cartucho De Aparelho Feminino,"0,00","0,00","0,00","0,00",0
11129,1.15.131.004.004,                      Cera Gel Depilatoria,"943,16","3,45","35,67","0,00",70
11130,1.15.131.004.005,                      Creme Depilatorio,"1.166,94","4,27","33,36","0,00",54
11131,1.15.131.004.006,                      Lixa E Folha Depilatorio,"1.360,62","4,98","33,51","0,00",94
11132,1.15.131.004.007,                      Locao Creme Depilatorio,"0,00","0,00","0,00","0,00",0
11133,1.15.131.005,                Desodorante,"210.129,22","34,95","33,72","0,55",0
11134,1.15.131.005.001,                      Desodorante Aerossol Feminino,"60.015,60","28,56","33,41","0,16",3592
11135,1.15.131.005.002,                      Desodorante Aerossol Masculino,"91.464,92","43,53","33,78","0,24",5419
11136,1.15.131.005.003,                      Desodorante Creme Feminino,"5.455,06","2,60","35,93","0,01",547
11137,1.15.131.005.004,                      Desodorante Creme Masculino,"1.662,00","0,79","29,61","0,00",52
11138,1.15.131.005.005,                      Desodorante Roll On Feminino,"17.150,33","8,16","34,37","0,05",1510
11139,1.15.131.005.006,                      Desodorante Roll On Masculino,"16.004,72","7,62","34,22","0,04",1499
11140,1.15.131.005.007,                      Desodorante Spray Feminino,"2.317,44","1,10","27,29","0,01",120
11141,1.15.131.005.008,                      Desodorante Spray Masculino,"922,66","0,44","36,80","0,00",128
11142,1.15.131.005.009,                      Kit Desodorante Aerosol,"0,00","0,00","0,00","0,00",0
11143,1.15.131.005.010,                      Kit Desodorante Roll On,"0,00","0,00","0,00","0,00",0
11144,1.15.131.005.011,                      Perfume Colonia,"0,00","0,00","0,00","0,00",0
11145,1.15.131.005.012,                      Talco Antisseptico,"15.136,49","7,20","33,73","0,04",1233
11146,1.15.131.005.013,                      Talco Creme Gel,"0,00","0,00","0,00","0,00",0
11147,1.15.131.006,                Esmalte E Removedores,"23.544,16","3,92","34,94","0,06",0
11148,1.15.131.006.001,                      Base Incolor E Tratamento,"0,00","0,00","0,00","0,00",0
11149,1.15.131.006.002,                      Esmalte,"15.004,53","63,73","35,15","0,04",1819
11150,1.15.131.006.003,                      Oleo Secante,"0,00","0,00","0,00","0,00",0
11151,1.15.131.006.004,                      Removedor De Esmalte,"8.539,63","36,27","34,59","0,02",1368
11152,1.15.131.007,                Hastes Flexiveis,"14.393,70","2,39","33,59","0,04",0
11153,1.15.131.007.001,                      Haste Flexivel Acima 75un,"5.862,58","40,73","33,69","0,02",592
